date,exports
"Mar 08, 1991",197
"Mar 15, 1991",205
"Mar 22, 1991",186
"Mar 29, 1991",167
"Apr 05, 1991",156
"Apr 12, 1991",145
"Apr 19, 1991",133
"Apr 26, 1991",122
"May 03, 1991",123
"May 10, 1991",125
"May 17, 1991",126
"May 24, 1991",127
"May 31, 1991",127
"Jun 07, 1991",134
"Jun 14, 1991",142
"Jun 21, 1991",149
"Jun 28, 1991",156
"Jul 05, 1991",146
"Jul 12, 1991",136
"Jul 19, 1991",125
"Jul 26, 1991",115
"Aug 02, 1991",118
"Aug 09, 1991",121
"Aug 16, 1991",123
"Aug 23, 1991",126
"Aug 30, 1991",126
"Sep 06, 1991",113
"Sep 13, 1991",100
"Sep 20, 1991",86
"Sep 27, 1991",73
"Oct 04, 1991",91
"Oct 11, 1991",109
"Oct 18, 1991",127
"Oct 25, 1991",144
"Nov 01, 1991",142
"Nov 08, 1991",141
"Nov 15, 1991",139
"Nov 22, 1991",139
"Nov 29, 1991",139
"Dec 06, 1991",135
"Dec 13, 1991",130
"Dec 20, 1991",125
"Dec 27, 1991",119
"Jan 03, 1992",122
"Jan 10, 1992",124
"Jan 17, 1992",127
"Jan 24, 1992",130
"Jan 31, 1992",130
"Feb 07, 1992",133
"Feb 14, 1992",137
"Feb 21, 1992",141
"Feb 28, 1992",143
"Mar 06, 1992",143
"Mar 13, 1992",143
"Mar 20, 1992",142
"Mar 27, 1992",143
"Apr 03, 1992",141
"Apr 10, 1992",139
"Apr 17, 1992",137
"Apr 24, 1992",135
"May 01, 1992",132
"May 08, 1992",129
"May 15, 1992",127
"May 22, 1992",126
"May 29, 1992",126
"Jun 05, 1992",122
"Jun 12, 1992",117
"Jun 19, 1992",113
"Jun 26, 1992",108
"Jul 03, 1992",111
"Jul 10, 1992",114
"Jul 17, 1992",117
"Jul 24, 1992",119
"Jul 31, 1992",119
"Aug 07, 1992",115
"Aug 14, 1992",112
"Aug 21, 1992",109
"Aug 28, 1992",106
"Sep 04, 1992",108
"Sep 11, 1992",111
"Sep 18, 1992",113
"Sep 25, 1992",116
"Oct 02, 1992",117
"Oct 09, 1992",118
"Oct 16, 1992",119
"Oct 23, 1992",118
"Oct 30, 1992",117
"Nov 06, 1992",115
"Nov 13, 1992",113
"Nov 20, 1992",112
"Nov 27, 1992",111
"Dec 04, 1992",114
"Dec 11, 1992",116
"Dec 18, 1992",119
"Dec 25, 1992",121
"Jan 01, 1993",121
"Jan 08, 1993",119
"Jan 15, 1993",118
"Jan 22, 1993",116
"Jan 29, 1993",114
"Feb 05, 1993",115
"Feb 12, 1993",117
"Feb 19, 1993",118
"Feb 26, 1993",117
"Mar 05, 1993",114
"Mar 12, 1993",112
"Mar 19, 1993",109
"Mar 26, 1993",109
"Apr 02, 1993",109
"Apr 09, 1993",109
"Apr 16, 1993",108
"Apr 23, 1993",108
"Apr 30, 1993",109
"May 07, 1993",109
"May 14, 1993",109
"May 21, 1993",110
"May 28, 1993",109
"Jun 04, 1993",109
"Jun 11, 1993",110
"Jun 18, 1993",110
"Jun 25, 1993",108
"Jul 02, 1993",107
"Jul 09, 1993",105
"Jul 16, 1993",104
"Jul 23, 1993",104
"Jul 30, 1993",105
