date,imports
"Feb 02, 1990",6503
"Feb 09, 1990",6226
"Feb 16, 1990",5980
"Feb 23, 1990",5936
"Mar 02, 1990",5772
"Mar 09, 1990",5965
"Mar 16, 1990",6127
"Mar 23, 1990",6214
"Mar 30, 1990",6193
"Apr 06, 1990",6209
"Apr 13, 1990",6191
"Apr 20, 1990",6041
"Apr 27, 1990",6218
"May 04, 1990",6197
"May 11, 1990",6249
"May 18, 1990",6333
"May 25, 1990",6362
"Jun 01, 1990",6392
"Jun 08, 1990",6371
"Jun 15, 1990",6730
"Jun 22, 1990",6917
"Jun 29, 1990",6780
"Jul 06, 1990",6812
"Jul 13, 1990",6708
"Jul 20, 1990",6645
"Jul 27, 1990",7007
"Aug 03, 1990",7106
"Aug 10, 1990",6797
"Aug 17, 1990",6766
"Aug 24, 1990",6632
"Aug 31, 1990",6713
"Sep 07, 1990",6966
"Sep 14, 1990",6614
"Sep 21, 1990",6473
"Sep 28, 1990",6029
"Oct 05, 1990",5610
"Oct 12, 1990",5450
"Oct 19, 1990",5110
"Oct 26, 1990",5079
"Nov 02, 1990",5018
"Nov 09, 1990",4830
"Nov 16, 1990",5026
"Nov 23, 1990",5146
"Nov 30, 1990",5050
"Dec 07, 1990",5197
"Dec 14, 1990",5096
"Dec 21, 1990",5055
"Dec 28, 1990",5039
"Jan 04, 1991",5171
"Jan 11, 1991",5079
"Jan 18, 1991",4981
"Jan 25, 1991",5144
"Feb 01, 1991",5313
"Feb 08, 1991",5482
"Feb 15, 1991",5601
"Feb 22, 1991",5554
"Mar 01, 1991",5247
"Mar 08, 1991",5219
"Mar 15, 1991",5065
"Mar 22, 1991",5178
"Mar 29, 1991",5252
"Apr 05, 1991",5258
"Apr 12, 1991",5603
"Apr 19, 1991",5422
"Apr 26, 1991",5456
"May 03, 1991",5416
"May 10, 1991",5462
"May 17, 1991",5770
"May 24, 1991",5959
"May 31, 1991",6294
"Jun 07, 1991",6416
"Jun 14, 1991",6465
"Jun 21, 1991",6405
"Jun 28, 1991",6529
"Jul 05, 1991",6016
"Jul 12, 1991",5988
"Jul 19, 1991",6151
"Jul 26, 1991",5813
"Aug 02, 1991",6032
"Aug 09, 1991",6208
"Aug 16, 1991",6378
"Aug 23, 1991",6543
"Aug 30, 1991",6634
"Sep 06, 1991",6589
"Sep 13, 1991",6226
"Sep 20, 1991",6288
"Sep 27, 1991",6382
"Oct 04, 1991",5957
"Oct 11, 1991",5900
"Oct 18, 1991",5693
"Oct 25, 1991",5509
"Nov 01, 1991",5562
"Nov 08, 1991",5634
"Nov 15, 1991",5668
"Nov 22, 1991",5703
"Nov 29, 1991",5548
"Dec 06, 1991",5763
"Dec 13, 1991",5791
"Dec 20, 1991",5660
"Dec 27, 1991",5962
"Jan 03, 1992",5387
"Jan 10, 1992",5558
"Jan 17, 1992",5698
"Jan 24, 1992",5607
"Jan 31, 1992",5953
"Feb 07, 1992",5335
"Feb 14, 1992",5417
"Feb 21, 1992",5173
"Feb 28, 1992",5278
"Mar 06, 1992",5489
"Mar 13, 1992",5274
"Mar 20, 1992",5611
"Mar 27, 1992",5340
"Apr 03, 1992",5430
"Apr 10, 1992",5769
"Apr 17, 1992",5862
"Apr 24, 1992",5973
"May 01, 1992",5981
"May 08, 1992",5814
"May 15, 1992",5723
"May 22, 1992",6075
"May 29, 1992",6109
"Jun 05, 1992",6065
"Jun 12, 1992",6216
"Jun 19, 1992",6011
"Jun 26, 1992",5935
"Jul 03, 1992",5841
"Jul 10, 1992",6157
"Jul 17, 1992",6251
"Jul 24, 1992",6583
"Jul 31, 1992",6819
"Aug 07, 1992",6444
"Aug 14, 1992",6715
"Aug 21, 1992",6604
"Aug 28, 1992",6514
"Sep 04, 1992",6439
"Sep 11, 1992",6112
"Sep 18, 1992",6206
"Sep 25, 1992",6162
"Oct 02, 1992",6243
"Oct 09, 1992",6270
"Oct 16, 1992",6650
"Oct 23, 1992",6640
"Oct 30, 1992",6842
"Nov 06, 1992",6813
"Nov 13, 1992",6181
"Nov 20, 1992",6347
"Nov 27, 1992",6174
"Dec 04, 1992",6152
"Dec 11, 1992",6414
"Dec 18, 1992",6369
"Dec 25, 1992",6153
"Jan 01, 1993",6005
"Jan 08, 1993",6100
"Jan 15, 1993",6040
"Jan 22, 1993",6274
"Jan 29, 1993",6557
"Feb 05, 1993",6397
"Feb 12, 1993",6428
"Feb 19, 1993",6252
"Feb 26, 1993",6256
"Mar 05, 1993",6061
"Mar 12, 1993",6333
"Mar 19, 1993",6342
"Mar 26, 1993",6408
"Apr 02, 1993",6377
"Apr 09, 1993",6374
"Apr 16, 1993",6588
"Apr 23, 1993",6523
"Apr 30, 1993",7078
"May 07, 1993",6859
"May 14, 1993",7001
"May 21, 1993",6955
"May 28, 1993",6685
"Jun 04, 1993",6513
"Jun 11, 1993",6604
"Jun 18, 1993",6891
"Jun 25, 1993",6893
"Jul 02, 1993",6971
"Jul 09, 1993",6793
"Jul 16, 1993",6909
"Jul 23, 1993",6622
"Jul 30, 1993",6684
"Aug 06, 1993",6722
"Aug 13, 1993",6235
"Aug 20, 1993",6351
"Aug 27, 1993",6683
"Sep 03, 1993",6595
"Sep 10, 1993",6572
"Sep 17, 1993",6696
"Sep 24, 1993",6378
"Oct 01, 1993",6337
"Oct 08, 1993",6481
"Oct 15, 1993",6742
"Oct 22, 1993",6795
"Oct 29, 1993",7024
"Nov 05, 1993",6745
"Nov 12, 1993",6852
"Nov 19, 1993",6849
"Nov 26, 1993",6459
"Dec 03, 1993",6984
"Dec 10, 1993",6810
"Dec 17, 1993",6813
"Dec 24, 1993",6840
"Dec 31, 1993",6592
"Jan 07, 1994",6430
"Jan 14, 1994",6280
"Jan 21, 1994",6253
"Jan 28, 1994",6033
"Feb 04, 1994",6150
"Feb 11, 1994",6135
"Feb 18, 1994",6338
"Feb 25, 1994",6357
"Mar 04, 1994",6114
"Mar 11, 1994",6044
"Mar 18, 1994",6336
"Mar 25, 1994",6259
"Apr 01, 1994",6418
"Apr 08, 1994",6714
"Apr 15, 1994",6438
"Apr 22, 1994",6968
"Apr 29, 1994",7111
"May 06, 1994",7305
"May 13, 1994",7518
"May 20, 1994",7234
"May 27, 1994",7076
"Jun 03, 1994",7008
"Jun 10, 1994",6954
"Jun 17, 1994",7520
"Jun 24, 1994",7858
"Jul 01, 1994",7794
"Jul 08, 1994",7980
"Jul 15, 1994",7895
"Jul 22, 1994",7684
"Jul 29, 1994",7942
"Aug 05, 1994",7579
"Aug 12, 1994",7505
"Aug 19, 1994",7597
"Aug 26, 1994",7305
"Sep 02, 1994",7834
"Sep 09, 1994",7551
"Sep 16, 1994",7767
"Sep 23, 1994",7707
"Sep 30, 1994",7586
"Oct 07, 1994",7607
"Oct 14, 1994",7243
"Oct 21, 1994",7312
"Oct 28, 1994",7020
"Nov 04, 1994",6859
"Nov 11, 1994",7019
"Nov 18, 1994",7114
"Nov 25, 1994",7181
"Dec 02, 1994",7096
"Dec 09, 1994",6953
"Dec 16, 1994",6909
"Dec 23, 1994",6761
"Dec 30, 1994",7038
"Jan 06, 1995",7065
"Jan 13, 1995",6870
"Jan 20, 1995",6858
"Jan 27, 1995",6641
"Feb 03, 1995",6306
"Feb 10, 1995",6671
"Feb 17, 1995",6663
"Feb 24, 1995",6492
"Mar 03, 1995",6569
"Mar 10, 1995",6601
"Mar 17, 1995",6653
"Mar 24, 1995",6729
"Mar 31, 1995",7237
"Apr 07, 1995",6911
"Apr 14, 1995",6784
"Apr 21, 1995",7312
"Apr 28, 1995",7313
"May 05, 1995",7082
"May 12, 1995",7462
"May 19, 1995",7311
"May 26, 1995",6994
"Jun 02, 1995",7399
"Jun 09, 1995",7231
"Jun 16, 1995",7666
"Jun 23, 1995",7574
"Jun 30, 1995",7706
