date,products_supplied
Jan-1981,571321
Feb-1981,475689
Mar-1981,493111
Apr-1981,460490
May-1981,475943
Jun-1981,482838
Jul-1981,486154
Aug-1981,473143
Sep-1981,469637
Oct-1981,490471
Nov-1981,467780
Dec-1981,514481
Jan-1982,499843
Feb-1982,448039
Mar-1982,482375
Apr-1982,481389
May-1982,460244
Jun-1982,449944
Jul-1982,459437
Aug-1982,460018
Sep-1982,450658
Oct-1982,460615
Nov-1982,450272
Dec-1982,480104
Jan-1983,456390
Feb-1983,414173
Mar-1983,481756
Apr-1983,440764
May-1983,449646
Jun-1983,458664
Jul-1983,465584
Aug-1983,479884
Sep-1983,465176
Oct-1983,463830
Nov-1983,464995
Dec-1983,518504
Jan-1984,520825
Feb-1984,447678
Mar-1984,497551
Apr-1984,467046
May-1984,484217
Jun-1984,471260
Jul-1984,480430
Aug-1984,499611
Sep-1984,457421
Oct-1984,484110
Nov-1984,468797
Dec-1984,476629
Jan-1985,499385
Feb-1985,451396
Mar-1985,476552
Apr-1985,464151
May-1985,480611
Jun-1985,464487
Jul-1985,478444
Aug-1985,497862
Sep-1985,452970
Oct-1985,494249
Nov-1985,465083
Dec-1985,514951
Jan-1986,498728
Feb-1986,453209
Mar-1986,504565
Apr-1986,478339
May-1986,495789
Jun-1986,481482
Jul-1986,505514
Aug-1986,515167
Sep-1986,477269
Oct-1986,514674
Nov-1986,486633
Dec-1986,531060
Jan-1987,517210
Feb-1987,473425
Mar-1987,501109
Apr-1987,495706
May-1987,496806
Jun-1987,504892
Jul-1987,530502
Aug-1987,506741
Sep-1987,500097
Oct-1987,525173
Nov-1987,490290
Dec-1987,540790
Jan-1988,539481
Feb-1988,515026
Mar-1988,545962
Apr-1988,496816
May-1988,502103
Jun-1988,511781
Jul-1988,517536
Aug-1988,541955
Sep-1988,512149
Oct-1988,544972
Nov-1988,528590
Dec-1988,569322
Jan-1989,535329
Feb-1989,501749
Mar-1989,557660
Apr-1989,498719
May-1989,512928
Jun-1989,524903
Jul-1989,510039
Aug-1989,538172
Sep-1989,503850
Oct-1989,536411
Nov-1989,519331
Dec-1989,584589
Jan-1990,525878
Feb-1990,480896
Mar-1990,529703
Apr-1990,503351
May-1990,524350
Jun-1990,514961
Jul-1990,529591
Aug-1990,559565
Sep-1990,495360
Oct-1990,524967
Nov-1990,500850
Dec-1990,511328
Jan-1991,523670
Feb-1991,457486
Mar-1991,502581
Apr-1991,484163
May-1991,501860
Jun-1991,506333
Jul-1991,526087
Aug-1991,532675
Sep-1991,505429
Oct-1991,526870
Nov-1991,501911
Dec-1991,531485
Jan-1992,527375
Feb-1992,489886
Mar-1992,521571
Apr-1992,502929
May-1992,511048
Jun-1992,509344
Jul-1992,531442
Aug-1992,524787
Sep-1992,506265
Oct-1992,540892
Nov-1992,512730
Dec-1992,555755
Jan-1993,501374
Feb-1993,485354
Mar-1993,544816
Apr-1993,503439
May-1993,511747
Jun-1993,512878
Jul-1993,538070
Aug-1993,537278
Sep-1993,529508
Oct-1993,537012
Nov-1993,533395
Dec-1993,556536
Jan-1994,560233
Feb-1994,513444
Mar-1994,536696
Apr-1994,524661
